reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,userLang,app_id
495266a4-f451-48c3-a844-fb3c07560d55,Foysal Hossain,https://play-lh.googleusercontent.com/a-/ALV-UjUo9CylpEKiBi3FptPqpH_upLcZ5cGEzLh-d9DRndmseg,Gett van for no reason 😂😂😂,1,0,,2023-09-19 15:05:31,,,, EN,org.telegram.messenger
947fcd83-7a28-403d-b03b-d0bc20f52e0e,S K VERMA,https://play-lh.googleusercontent.com/a/ACg8ocJMS9iA1ELCjG-bhVpdCEyZMGO2bkh17Xt8JDCvlCX_=mo,better' than WhatsApp,4,0,,2023-09-19 14:59:30,,,, EN,org.telegram.messenger
65856211-67ba-4560-84dd-a0055775ed90,Amanuel Abara,https://play-lh.googleusercontent.com/a/ACg8ocKdO9QJD2WomQydwQDSePhs0nmmKUYAJrkzaV2VgaMk=mo,That was good app for me,5,0,,2023-09-19 14:55:06,,,, EN,org.telegram.messenger
cd5ba250-3a26-43b4-a378-77d18f73a503,Vagarangas X Aopi,https://play-lh.googleusercontent.com/a/ACg8ocJNdKn8Xe_gKWoWxXstSwOCTotsndchtfbquh_rlOhR=mo,Love the app,5,0,10.0.4,2023-09-19 14:50:18,,,10.0.4, EN,org.telegram.messenger
e8e886b4-d6c6-416b-b0a1-be90320c4024,Shafin islam,https://play-lh.googleusercontent.com/a-/ALV-UjUJ5th6DQ-9UAw78G1z5vbMIuEKrD4DMOnzPkjPxYrfzw,🕳️🕳️🕳️,1,0,,2023-09-19 14:48:20,,,, EN,org.telegram.messenger
f189360d-494a-41cf-923a-4d9388d01d49,Ali ishrak Arko,https://play-lh.googleusercontent.com/a-/ALV-UjXsxqFhZF1CJP_1ug7m97o2Y-1I9EuStYkqZidt_EGb6Q,Good app,5,0,10.0.8,2023-09-19 14:46:54,,,10.0.8, EN,org.telegram.messenger
f88b4087-5944-44dd-b4c6-33431f3e8b2b,loljustplayplay,https://play-lh.googleusercontent.com/a/ACg8ocIQLjdSFfklYyhGagIKr9ePVIGCNrCwCmWcAITY2i4k=mo,Nice app,5,0,8.6.2,2023-09-19 14:43:18,,,8.6.2, EN,org.telegram.messenger
ab15282f-86b7-4052-b6a8-ba8a2d64bce2,SP News HD,https://play-lh.googleusercontent.com/a-/ALV-UjWBS2W5oHZJTkEqoW31q5ap0A1mP1kk4hlpACcjTcz50C4,telegram mare call par nai ban rhi,5,0,10.0.8,2023-09-19 14:42:49,,,10.0.8, EN,org.telegram.messenger
3f4d72ec-123d-4ae3-a82d-1a61dcf734e3,Rofy Az,https://play-lh.googleusercontent.com/a-/ALV-UjU0gBAY0ihvrfkLzrVgvjTw1rNmzpIKTDM64sAxshx5NNc,now how to mute stories?,3,0,10.0.8,2023-09-19 14:37:57,,,10.0.8, EN,org.telegram.messenger
2093fc6f-75c0-4ec3-9bbc-a8febfa360e8,ALOK YADAV (siv),https://play-lh.googleusercontent.com/a-/ALV-UjU3j3KNyvWEexFUYSMM9jCdURS9F8el6MjmQAtkHM9iHQr5,Good parfom sab 1,5,0,10.0.8,2023-09-19 14:37:46,,,10.0.8, EN,org.telegram.messenger
885723f1-48f7-47d6-9200-fc30f03f74d3,Nijam Uddin Uddin,https://play-lh.googleusercontent.com/a/ACg8ocIIlhA91e58vAICQ0DHcAXl3tJB__A2pIzYAnxeuJGI=mo,Nice,5,0,10.0.8,2023-09-19 14:36:51,,,10.0.8, EN,org.telegram.messenger
f01e15d1-86ac-45b5-879d-d6ea8ae9e52e,Ajin Achu,https://play-lh.googleusercontent.com/a-/ALV-UjUIcqFuCjkm7wrSgWT1R8R6URewAebN5A0GMlyvhF80Qw,Nise,5,0,9.6.5,2023-09-19 14:36:06,,,9.6.5, EN,org.telegram.messenger
33a774f5-ffd7-407a-b163-e697ec3d205c,aryaa adhi,https://play-lh.googleusercontent.com/a-/ALV-UjXGoM1nQ2jANG2jr82eb5DCDMX2gxA6kKfcE18p_aLOw2g,VERY GOOD,5,0,,2023-09-19 14:34:02,,,, EN,org.telegram.messenger
bdbb5549-c701-47f9-90b4-f24abbf44fd5,Bhaskar More,https://play-lh.googleusercontent.com/a-/ALV-UjWH1GaqW7c3lozHboVTpq9EELoQrId1mmvXEknBF3PgpA,Good,5,0,9.6.7,2023-09-19 14:29:45,,,9.6.7, EN,org.telegram.messenger
b21d4f24-47d9-41a1-aff7-7c7d46590c0d,Nabidul Hassan,https://play-lh.googleusercontent.com/a-/ALV-UjVWdYdub5kKmRVErTv-_sSXTxwvIy3ngyY03m14nsSoyp8,When I enter my phone number it show I am banned I email support telegram but I got no answer😭,1,0,,2023-09-19 14:27:15,,,, EN,org.telegram.messenger
